"Title","Url","isPublished","SocCode","EscoTitle","EscoUri","status after SME check","SME comments"
"Taxi driver","taxi-driver","Published","8214A","taxi driver","http://data.europa.eu/esco/occupation/6f7c1e84-8162-4c20-a575-b57ff624eef5",,
"Taxidermist","taxidermist","Published","6148E","taxidermist","http://data.europa.eu/esco/occupation/a78d8e2b-fe31-447f-8694-38ed7198d143",,
"Teaching assistant","teaching-assistant","Published","6125A","primary school teaching assistant","http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e","good match","poss primary school ta more appropriate though early years and sec ta avail but primary skills closer to JP TA desc"
"Technical architect","technical-architect","Published","2135C","ICT system architect","http://data.europa.eu/esco/occupation/e1c72b5f-4c5c-487c-a6df-e84b64a51dae",,
"Technical author","technical-author","Published","3412F","technical communicator","http://data.europa.eu/esco/occupation/8cb59bc4-1f39-477e-beea-effed12d186c",,
"Technical brewer","technical-brewer","Published","2129G","brewmaster","http://data.europa.eu/esco/occupation/95cd3d64-20d0-4681-857d-d6c63d07349f","partial match","check distillery miller"
"Technical surveyor","technical-surveyor","Published","3114C","surveying technician","http://data.europa.eu/esco/occupation/624986f9-21ef-4cdf-8cf6-8407a337ec2f","good match",
"Technical textiles designer","technical-textiles-designer","Published","3422M","textile designer","http://data.europa.eu/esco/occupation/0f7c84c5-1c0d-4fc1-8949-07dbe8bd34ef","replace","ESCO has textile product developer which has technical textiles under alt labels and is closer to jp emphasis http://data.europa.eu/esco/occupation/6833077e-e521-4605-bc1a-893f4b3d811c"
"Telecoms engineer","telecoms-engineer","Published","5242A","telecommunications engineer","http://data.europa.eu/esco/occupation/02eb0ae6-ecdd-4602-9c8e-60ffe6dbe1e2",,
"Telephonist","telephonist","Published","7213A","telephone switchboard operator","http://data.europa.eu/esco/occupation/0bf68df5-e808-4c27-abf2-6f85440f2d7f","good match",
"Test lead","test-lead","Published","2133C","ICT test analyst","http://data.europa.eu/esco/occupation/0ab5c12c-c1c1-4772-8345-aa287d0e391d","good match","go with ICT test analyst as closer to JP desc than software tester and ICT systems tester"
"Textile designer","textile-designer","Published","3422N","textile designer","http://data.europa.eu/esco/occupation/0f7c84c5-1c0d-4fc1-8949-07dbe8bd34ef",,
"Textile dyeing technician","textile-dyeing-technician","Published","3116A","textile dyeing technician","http://data.europa.eu/esco/occupation/2229a024-21e4-43ef-b3fd-2444ab41bfb8",,
