"Title","Url","isPublished","SocCode","EscoTitle","EscoUri","status after SME check","SME comments"
"Airport baggage handler","airport-baggage-handler","Published","8233A","airport baggage handler","http://data.europa.eu/esco/occupation/3d974e0c-8ed9-47a7-aec2-ebdb34391c87","good match",
"Airport information assistant","airport-information-assistant","Published","6214C","tourist information officer","http://data.europa.eu/esco/occupation/9b35eab1-2adc-4057-a620-181862656a19","partial match","some skills on ESCO are relvant but others not so much"
"Alexander Technique teacher","alexander-technique-teacher","Published","3219D","physiotherapist
complementary therapist","http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533
http://data.europa.eu/esco/occupation/c2a29b8d-1042-4766-a162-e174c7a77421
http://data.europa.eu/esco/occupation/c2a29b8d-1042-4766-a162-e174c7a77421","good match","Probably use complimentary therapist as AT mentioned in alt titles - Also, AT should be capitalised"
"Ambulance care assistant","ambulance-care-assistant","Published","6142A","patient transport services driver","http://data.europa.eu/esco/occupation/976f752c-5f10-42ca-84fb-89aa529af04f","good match",
"Anaesthetist","anaesthetist","Published","2211C","specialised doctor
anaesthetic technician","http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac
http://data.europa.eu/esco/occupation/16e65196-3449-4c88-b379-0aa98f43db2b
http://data.europa.eu/esco/occupation/16e65196-3449-4c88-b379-0aa98f43db2b","decision req","more descriptive skills under technician even though lower level role but if job desc to be used then it talks about technician not qualified doctor which is what they are"
"Analytical textile technologist","analytical-textile-technologist","Published","2129C","textile technologist","http://data.europa.eu/esco/occupation/85acc7e9-1fac-4e91-962b-8b8031f39487","good match",
"Anatomical pathology technician","anatomical-pathology-technician","Published","3218B","anatomical pathology technician","http://data.europa.eu/esco/occupation/4a5b3686-eea4-4ba0-b446-33f7b6a95aed","good match",
"Animal care worker","animal-care-worker","Published","6139B","animal care attendant","http://data.europa.eu/esco/occupation/0b14d5d7-1bbe-4403-b9e6-7b0f37fc44fc","good match",
"Animal technician","animal-technician","Published","6139C","animal care attendant","http://data.europa.eu/esco/occupation/0b14d5d7-1bbe-4403-b9e6-7b0f37fc44fc","good match",
"Animator","animator","Published","3411A","animator","http://data.europa.eu/esco/occupation/48c8eccb-4bd0-487e-a187-4953cbbe956e","good match",
"Antique Dealer","antique-dealer","Published","1254A","specialised antique dealer","http://data.europa.eu/esco/occupation/f8304b4c-1220-4979-b2dd-47d2a2f0734a","good match",
"App developer","app-developer","Published","2135D","mobile application developer","http://data.europa.eu/esco/occupation/2ed56c3f-61d6-4f7e-9ef8-8849eb102e4c","2 ESCO options","ESCO also has ICT app developer http://data.europa.eu/esco/occupation/bd272aee-adc9-4a06-a15c-a73b4b4a46a7 - which one should we use or can we use both?"
"Arboricultural officer","arboricultural-officer","Published","5119A","arboriculturist","http://data.europa.eu/esco/occupation/b865693a-eb11-44cc-bf6c-38e5b4d7e169","good match",
"Archaeologist","archaeologist","Published","2114A","archaeologist","http://data.europa.eu/esco/occupation/203ea2ee-bbee-4aaf-83d7-2f2225f916e3","good match",
"Architect","architect","Published","2431A","architect","http://data.europa.eu/esco/occupation/8c3f536e-ba66-4321-ba40-363dc39f129b","good match",
"Architectural technician","architectural-technician","Published","3121A","architectural drafter","http://data.europa.eu/esco/occupation/364cb5ca-3002-425f-b815-aefa513df78a","good match",
"Architectural technologist","architectural-technologist","Published","2435A","architectural drafter","http://data.europa.eu/esco/occupation/364cb5ca-3002-425f-b815-aefa513df78a","decision req","ESCO has construction engineer which is slightly closer to jp though not ideal http://data.europa.eu/esco/occupation/8c3f536e-ba66-4321-ba40-363dc39f129b - architectural drafter little too low for arch technologist role"
"Archivist","archivist","Published","2452A","archivist","http://data.europa.eu/esco/occupation/e3b08984-19fe-4d51-a1b0-990676fc7234","good match",
"Army officer","army-officer","Published","1171A","armed forces officer","http://data.europa.eu/esco/occupation/c6a26e11-bdf1-47a1-849d-fdcf819d458d","good match",
"Aromatherapist","aromatherapist","Published","3219A","aromatherapist","http://data.europa.eu/esco/occupation/754c349d-67d5-48e5-81c1-e84d2fab59d0","good match",
"Art editor","art-editor","Published","2471A","picture editor","http://data.europa.eu/esco/occupation/72add02e-ae39-4dfb-8047-ced4c1a347f5","good match",
"Art gallery curator","art-gallery-curator","Published","2452B","exhibition curator","http://data.europa.eu/esco/occupation/691d30cc-6b2c-4025-89b4-3e719fe664c7","decision req","poss collection manager http://data.europa.eu/esco/occupation/96be6ac3-5932-4bfc-933d-84b267d0d486"
"Art therapist","art-therapist","Published","2229D","art therapist","http://data.europa.eu/esco/occupation/eb48ccbd-75f2-4799-81be-443034858473","good match",
"Art valuer","art-valuer","Published","3531A","exhibition curator","http://data.europa.eu/esco/occupation/691d30cc-6b2c-4025-89b4-3e719fe664c7","decision req","poss exh registrar http://data.europa.eu/esco/occupation/8f324afc-6ae8-48f5-af68-0fac08024fd1"
"Arts administrator","arts-administrator","Published","2429D","exhibition curator","http://data.europa.eu/esco/occupation/691d30cc-6b2c-4025-89b4-3e719fe664c8","decision req","poss admin assistant http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652"
"Assistance dog trainer","assistance-dog-trainer","Published","6139D","dog trainer
guide dog trainer","http://data.europa.eu/esco/occupation/2662ed6c-a705-4895-8e9d-0a85c08ad908
http://data.europa.eu/esco/occupation/65a9366c-d4d3-484d-a577-c63d335987da
http://data.europa.eu/esco/occupation/65a9366c-d4d3-484d-a577-c63d335987da","good match","go with dog trainer as assistance dog trainer is one of the alt labels"
"Assistant immigration officer","assistant-immigration-officer","Published","3319B","immigration officer
customs officer","http://data.europa.eu/esco/occupation/6296faea-1909-4943-b0e0-662b43ad855d
http://data.europa.eu/esco/occupation/5f16819d-50b9-475b-a2d8-607ee6d99a9d
http://data.europa.eu/esco/occupation/5f16819d-50b9-475b-a2d8-607ee6d99a9d","good match","go with immigration office as customes officer more suitable for Border Force office jp"
"Astronaut","astronaut","Published","2113A","astronaut","http://data.europa.eu/esco/occupation/d4edb527-2e5d-440c-9f8c-cd5caa9cc4d6","good match",
"Astronomer","astronomer","Published","2113B","astronomer","http://data.europa.eu/esco/occupation/57a12047-4f1e-40ed-add5-9736923f231b","good match",
"Athlete","athlete","Published","3441E","professional athlete","http://data.europa.eu/esco/occupation/082c234c-0dda-490a-b5af-757c3e48da90","good match",
"Audiologist","audiologist","Published","2219A","audiologist","http://data.europa.eu/esco/occupation/c4d6d07a-ae90-40ce-bc5a-c952805a9bf3","good match",
"Audio-visual technician","audio-visual-technician","Published","3417D","audio-visual technician","http://data.europa.eu/esco/occupation/7642cbcc-9839-47fb-b2cf-d4bb831d6c93","good match",
"Auditor","auditor","Published","2421A","financial auditor","http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21","good match",
"Auto electrician","auto-electrician","Published","5231B","vehicle electronics installer","http://data.europa.eu/esco/occupation/ecdc43f5-3b32-4f94-abf8-cd46480c8cb8","replace","ESCO automotive electrician http://data.europa.eu/esco/occupation/6656337f-67eb-4f48-b1e4-ecccdfa44dd2 as installer does not incl this role as stated on installer page "
"Automotive engineer","automotive-engineer","Published","2122C","automotive engineer","http://data.europa.eu/esco/occupation/8d410283-865d-4cbb-acae-ac7f69d9cf26","good match",
"Bailiff","bailiff","Published","9249A","court enforcement officer","http://data.europa.eu/esco/occupation/b471350e-23ce-4789-a821-5500b28cffe1","good match",
"Baker","baker","Published","5432A","baker","http://data.europa.eu/esco/occupation/1aadb308-432a-4d01-b54b-b4f7f76dd419","good match",
"Bank manager","bank-manager","Published","1150A","bank manager","http://data.europa.eu/esco/occupation/754ce08f-b4d9-4b9c-b9d2-06f15258a3ce","good match",
"Banking customer service adviser","banking-customer-service-adviser","Published","4123A","bank teller","http://data.europa.eu/esco/occupation/2ff9e53c-6e7f-42af-8d71-b5dd7f283089","good match",
"Bar person","bar-person","Published","9274A","bartender","http://data.europa.eu/esco/occupation/2f5e38a0-6578-4665-bdbd-e2ab505be140","good match",
"Barista","barista","Published","9272C","barista","http://data.europa.eu/esco/occupation/bf7d8b16-4e2c-48ef-b44e-dc25b2d0ab61","good match",
"Barrister","barrister","Published","2412A","lawyer","http://data.europa.eu/esco/occupation/974d4eab-fbee-4c52-b16e-73bdd8c25b53","good match",
"Barristers' clerk","barrister's-clerk","Published","3520A","legal assistant","http://data.europa.eu/esco/occupation/929ef41d-afd0-4d5a-b85b-69eab68fa368","good match",
"Beauty consultant","beauty-consultant","Published","6222A","aesthetician","http://data.europa.eu/esco/occupation/a1e1a788-2352-4172-8fcf-1f985a6968b0","good match",
"Beauty therapist","beauty-therapist","Published","6222B","personal stylist","http://data.europa.eu/esco/occupation/d5ce0c23-6f8a-459f-9bf9-a7cb9768740a","replace","ESCO aesthetician for this http://data.europa.eu/esco/occupation/a1e1a788-2352-4172-8fcf-1f985a6968b0"
"Beekeeper","beekeeper","Published","5119B","bee breeder","http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa","good match",
"Betting shop cashier","betting-shop-cashier","Published","4129A","cashier","http://data.europa.eu/esco/occupation/2b871272-bd61-4206-bd1a-0b96d7023098","good match",
"Bid writer","bid-writer","Published","3543E","technical sales representative","http://data.europa.eu/esco/occupation/c956be07-53a3-4b01-b8f8-f0c5a428eaa8","partial match","ESCO role contains some skills/competencies for bid writer job though many are much broader"
"Bilingual secretary","bilingual-secretary","Published","4215B","executive assistant","http://data.europa.eu/esco/occupation/2a04a1df-a3b9-403e-a245-e7f93fdddd44","good match",
"Bin worker","bin-worker","Published","9235A","refuse collector","http://data.europa.eu/esco/occupation/e54683ca-1fc9-468d-b880-6544ff6b7d0b","good match",
"Bingo caller","bingo-caller","Published","9279C","bingo caller","http://data.europa.eu/esco/occupation/2f7f5c84-b9b3-41ea-aa5f-5997d0873141","good match",
"Biochemist","biochemist","Published","2112B","biochemist","http://data.europa.eu/esco/occupation/6df6c5cb-c1a2-42c8-acd0-1ee5563c36c1","good match",
"Biologist","biologist","Published","2112C","biologist","http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217","good match",
"Biomedical scientist","biomedical-scientist","Published","2112D","biomedical scientist","http://data.europa.eu/esco/occupation/2e8820ba-5b2d-4572-92a1-942dbd02a6d6","good match",
"Biotechnologist","biotechnologist","Published","2112E","bioengineer","http://data.europa.eu/esco/occupation/f9433fdb-dde1-46cf-9e91-b49d243946a7","good match",
"Blacksmith","blacksmith","Published","5211A","blacksmith","http://data.europa.eu/esco/occupation/fccecd5d-ad90-41a8-bb89-96d7595abca3","good match",
"Boat builder","boat-builder","Published","5236A","shipwright","http://data.europa.eu/esco/occupation/8afab6c4-6145-4ea1-a0ae-d2c3438bda7e","good match",
"Body piercer","body-piercer","Published","6222C","body artist","http://data.europa.eu/esco/occupation/40da2fc6-8cb4-4cd3-8fe3-899715905070","good match",
"Bodyguard","bodyguard","Published","9241B","bodyguard","http://data.europa.eu/esco/occupation/f8e435dd-7aa9-4d7a-97c3-b3b5789b6b25","good match",
"Bomb disposal technician","bomb-disposal-technician","Published","3311A","bomb disposal technician","http://data.europa.eu/esco/occupation/fdc8adfb-1807-4146-98ae-3a26fbe19996","good match",
"Bookbinder","bookbinder-or-print-finisher","Published","5423A","book restorer","http://data.europa.eu/esco/occupation/2f1380b4-b76b-489c-a3a8-cd05ed6ad392","replace","ESCO bindary operator http://data.europa.eu/esco/occupation/49b21ca8-04be-4912-a2f7-0170550e18fa"
"Bookkeeper","bookkeeper","Published","4122A","bookkeeper","http://data.europa.eu/esco/occupation/c3aae59e-1441-4b3e-bdd1-6da50dc7cf42","good match",
"Bookmaker","bookmaker","Published","6211A","bookmaker","http://data.europa.eu/esco/occupation/264e1a4a-5074-47e2-a6d9-d225d48e8a9a","good match",
"Bookseller","bookseller","Published","7111A","bookshop specialised seller","http://data.europa.eu/esco/occupation/1246764a-ce7c-45e8-9675-e445d145e818","good match",
"Border Force officer","border-force-officer","Published","3319A","immigration officer","http://data.europa.eu/esco/occupation/6296faea-1909-4943-b0e0-662b43ad855d","good match",
"Botanist","botanist","Published","2112F","botanist","http://data.europa.eu/esco/occupation/55f001af-fa48-4c0c-a7e5-fc69babe3d45","good match",
"Bottler","bottler","Published","9134A","canning and bottling line operator","http://data.europa.eu/esco/occupation/9388a977-6f79-4509-81aa-026bc49e1919","good match",
"Boxer","boxer","Published","3441F","professional athlete","http://data.europa.eu/esco/occupation/082c234c-0dda-490a-b5af-757c3e48da90","good match",
"Brewery worker","brewery-worker","Published","8111B","brew house operator","http://data.europa.eu/esco/occupation/1e3c569b-e7ef-46b4-943a-2768a9969961","good match",
"Bricklayer","bricklayer","Published","5312A","bricklayer","http://data.europa.eu/esco/occupation/05f321f8-055b-407d-bf19-e0ddabda56b7","good match",
"British Sign Language interpreter","british-sign-language-interpreter","Published","3412B","sign language interpreter","http://data.europa.eu/esco/occupation/9a2147aa-a72f-4f83-8653-c3f50d4e1e73","good match",
"British Sign Language teacher","british-sign-language-teacher","Published","2316B","sign language teacher","http://data.europa.eu/esco/occupation/59c724f9-0cfe-4d51-8a7f-9ee182d9e2c2","good match",
"Broadcast engineer","broadcast-engineer","Published","2124A","broadcast technician","http://data.europa.eu/esco/occupation/fe4a72af-6206-4d86-90c1-b5fb4b5ba2b2","good match",
"Broadcast journalist","broadcast-journalist","Published","2471B","presenter","http://data.europa.eu/esco/occupation/09a9a956-db70-436f-8398-d85a17f6cdfe","decision req","news anchor also an option though slightly fewer skills matches"
"Builders' merchant","builders'-merchant","Published","1254B","building materials shop manager","http://data.europa.eu/esco/occupation/3a8ac6cd-b59a-4b93-b071-0324e895b8e4","good match","EACO also have building materials specialised seller but Building materials shop manager slightly closer match"
"Building control officer","building-control-officer","Published","3565B","building inspector","http://data.europa.eu/esco/occupation/f0e479d9-7afd-40b1-b60f-b68c400c15fb","good match",
"Building services engineer","building-services-engineer","Published","2122D","heating, ventilation, air conditioning engineer","http://data.europa.eu/esco/occupation/1f97f6e6-0ac7-4e77-88ab-2e3801c5a223","partial match","ESCO roles covers some of the skills required though EC role much broader than just heating/air con"
"Building site inspector","building-site-inspector","Published","2436A","construction quality inspector","http://data.europa.eu/esco/occupation/f0978ec0-ae7d-4c4a-8f80-3fd200edddac","good match","this closer to JP description. Construction safety inspector http://data.europa.eu/esco/occupation/6d1e2801-3ab0-4d74-ac27-918339e8db64 also close but slightly different emphasis so go with quality inspector"
"Building surveyor","building-surveyor","Published","2434A","land surveyor
building inspector","http://data.europa.eu/esco/occupation/d8e502b4-1be6-4d10-a224-151688f8f0c8
http://data.europa.eu/esco/occupation/f0e479d9-7afd-40b1-b60f-b68c400c15fb
http://data.europa.eu/esco/occupation/f0e479d9-7afd-40b1-b60f-b68c400c15fb","2 ESCO options",
"Building technician","building-technician","Published","3114A","civil engineering technician","http://data.europa.eu/esco/occupation/0f5cc4eb-925d-4b99-be6d-b0964a253a9a","good match",
"Bus or coach driver","bus-or-coach-driver","Published","8213A","bus driver","http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58","good match",
"Business adviser","business-adviser","Published","2423A","business consultant","http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97","good match",
"Business analyst","business-analyst","Published","2423B","Business analyst
ICT business analyst","http://data.europa.eu/esco/occupation/60082a99-d8ef-4e84-9290-78902681b6ed
http://data.europa.eu/esco/occupation/fe0fa514-b48d-4a53-9757-a283c0baacf0","good match","go with Business analyst as JP is broader than just IT"
"Business development manager","business-development-manager","Published","3545B","commercial sales representative","http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2","replace","ESCO business developer slightly closer match http://data.europa.eu/esco/occupation/b76178c0-a03a-4793-b079-1e61e636c521"
"Business project manager","business-project-manager","Published","2424A","project manager","http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5","good match",
"Butcher","butcher","Published","5431A","butcher","http://data.europa.eu/esco/occupation/37c7880e-cfee-4c41-a41b-061682fefde3","good match",
"Butler","butler","Published","6240A","domestic butler","http://data.europa.eu/esco/occupation/74cbe6fb-336f-4f3f-8c8f-7645b279a231","good match","go with domestic butler as JP emphasis is on this - ESCO hotel butler not as closer match http://data.europa.eu/esco/occupation/e65a9b0e-7347-4f6e-945e-aaeee976ef6e"
"Cabin crew","cabin-crew","Published","6214A","steward/stewardess","http://data.europa.eu/esco/occupation/58ff0ec2-08ba-4b21-b765-babb6d76ca36","good match",
"CAD technician","cad-technician","Published","3122A","computer-aided design operator","http://data.europa.eu/esco/occupation/62979364-6fac-41f2-87ca-202bca19a6ab","good match",
"Cake decorator","cake-decorator","Published","5432B","Baker","http://data.europa.eu/esco/occupation/1aadb308-432a-4d01-b54b-b4f7f76dd419","replace","ESCO confectioner slightly closer and cake maker is under ESCO alt labels http://data.europa.eu/esco/occupation/e00c46c4-bd3c-4d88-8d30-fc6f951554bd"
"Call centre operator","call-centre-operator","Published","7211A","call centre agent","http://data.europa.eu/esco/occupation/0ededdc2-050a-4ec3-8e70-6295105fcd19","good match",
"Car manufacturing worker","car-manufacturing-worker","Published","8132A","motor vehicle assembler","http://data.europa.eu/esco/occupation/ffc292f1-89e2-4406-8eff-39096c94e731","good match",
"Car rental agent","car-rental-agent","Published","7129A","rental service representative in cars and light motor vehicles","http://data.europa.eu/esco/occupation/f874980a-e08f-4a58-bc21-2ff3cf472ec5","decision req","poss vehicle rental agent http://data.europa.eu/esco/occupation/3cc87d40-f402-4f57-9353-4b36a031cfc5"
"Car salesperson","car-salesperson","Unpublished","7115A","motor vehicles specialised seller","http://data.europa.eu/esco/occupation/6a163fef-dee8-4583-82b0-13b76d8a27b2",,"this profile on EC now merged with Sales representative and no longer needed - can be deleted"
"Car valet","car-valet","Published","9236A","vehicle cleaner","http://data.europa.eu/esco/occupation/7cb71c5f-c310-481c-b46b-d0044328758c","good match",
"Care escort","care-escort","Published","6147A","bus driver","http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58","partial match","ESCO patient transport services driver but emphasis on ambulance http://data.europa.eu/esco/occupation/976f752c-5f10-42ca-84fb-89aa529af04f"
"Care home advocate","care-home-advocate","Published","3239D","residential care home worker","http://data.europa.eu/esco/occupation/81309031-dad2-4a7a-bde6-7f6e518f89ff","replace","ESCO residential home older adult care workers http://data.europa.eu/esco/occupation/50743f62-3d5b-4ef6-b706-00d2b1adfcc3"
"Care home manager","care-home-manager","Published","1242A","elderly home manager","http://data.europa.eu/esco/occupation/eea2b5c6-48d1-4612-957e-585783b3c7bb","good match",
"Care worker","care-worker","Published","6145A","residential care home worker","http://data.europa.eu/esco/occupation/81309031-dad2-4a7a-bde6-7f6e518f89ff","replace","ESCO care at home worker closer match http://data.europa.eu/esco/occupation/f4525ed8-54eb-4a3b-90db-55cc01b0d9fd"
"Careers adviser","careers-adviser","Published","3564A","career guidance advisor","http://data.europa.eu/esco/occupation/5d0cc30d-068a-424c-8463-f42872a7149e","good match",
"Caretaker","caretaker","Published","6232A","building caretaker","http://data.europa.eu/esco/occupation/1822bfc2-e735-449f-ba00-ca71eb5c062b","good match",
"Carpenter","carpenter","Published","5315A","carpenter","http://data.europa.eu/esco/occupation/2a22ff9e-de3b-408d-b312-5034896cc4f4","good match",
"Carpet fitter and floor layer","carpet-fitter-and-floor-layer","Published","5322A","carpet fitter","http://data.europa.eu/esco/occupation/e43d0f86-7abf-4c6e-b2b3-10970ddf6518","good match",
"Cartographer","cartographer","Published","3122B","cartographer","http://data.europa.eu/esco/occupation/ad8ab454-b506-46a5-afd3-66bbffd54115","good match",
"Catering manager","catering-manager","Published","5436A","restaurant manager","http://data.europa.eu/esco/occupation/d5eb6150-bbff-4a9c-9d0c-21eab4dbe2b6","good match",
"Cavity insulation installer","cavity-insulation-installer","Published","8149A","insulation worker","http://data.europa.eu/esco/occupation/b2dab4fb-b7f7-4f57-94b2-9c0f0848564a","good match",
"ceiling installer","ceiling-installer","Published","8149B","ceiling installer","http://data.europa.eu/esco/occupation/41a8e7c8-e1d8-4984-9b3c-dbbad1699f83","good match",
"Celebrant","celebrant","Published","3239I","minister of religion","http://data.europa.eu/esco/occupation/ed256ed0-0432-4969-8544-3e5e01a517a9","no match","registrar better but limited skills"
"Cellar technician","cellar-technician","Published","5223A","cellar operator","http://data.europa.eu/esco/occupation/3caa57c9-d360-4ce4-8000-34a983666ba7","good match",
"Cemetery worker","cemetery-worker","Published","6148B","cemetery attendant","http://data.europa.eu/esco/occupation/aac0c510-f238-4dbe-beeb-1d7b73f4552c","good match",
"Ceramics designer-maker","ceramics-designer-maker","Published","3422B","production potter","http://data.europa.eu/esco/occupation/97896345-d102-4549-97a5-8851979e6938","replace","ESCO ceramicist http://data.europa.eu/esco/occupation/ec0e64c9-6d9b-4a9f-a022-a418f3b381fe"
"Charity director","charity-director","Published","1139A","activism officer
fundraising manager","http://data.europa.eu/esco/occupation/98358049-fbcd-479e-a644-e92bde5af2e0
http://data.europa.eu/esco/occupation/c2e6609d-0abe-4a38-b295-e06edbd52e82
http://data.europa.eu/esco/occupation/c2e6609d-0abe-4a38-b295-e06edbd52e82","decision req","poss go with fundraising manager as this is higher level more in line with role"
"Charity fundraiser","charity-fundraiser","Published","3239E","fundraising assistant","http://data.europa.eu/esco/occupation/1d6fbb43-f4c7-4839-8099-55eae5d424a5","good match",
"Chauffeur","chauffeur","Published","8214B","private chauffeur","http://data.europa.eu/esco/occupation/e75305db-9011-4ee0-ab62-8d41a98f807e","good match",
"Checkout operator","checkout-operator","Published","7112A","cashier","http://data.europa.eu/esco/occupation/2b871272-bd61-4206-bd1a-0b96d7023098","good match",
"Chef","chef","Published","5434A","chef","http://data.europa.eu/esco/occupation/1009be17-7efd-45f1-a033-566bf179c588","good match",
"Chemical engineer","chemical-engineer","Published","2127A","chemical engineer","http://data.europa.eu/esco/occupation/ec21ce88-ce14-49b6-be0a-cc53cf5a3a67","good match",
"Chemical engineering technician","chemical-engineering-technician","Published","3113C","chemical engineering technician","http://data.europa.eu/esco/occupation/35bc3847-58ad-46f5-8921-e58acc2762a6","good match",
"Chemical plant process operator","chemical-plant-process-operator","Published","8114A","chemical processing plant controller","http://data.europa.eu/esco/occupation/a241eff8-309b-43ae-8890-ac4cfbd3067c","good match",
"Chemist","chemist","Published","2111A","chemist","http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da","good match",
"Chief executive","chief-executive","Published","1115A","chief executive officer","http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2","good match",
"Chief inspector","chief-inspector","Published","1172A","police commissioner","http://data.europa.eu/esco/occupation/2ae275fe-4f11-4a38-9e95-d466d74b42a3","good match",
"Child protection officer","child-protection-officer","Published","3233D","child welfare worker","http://data.europa.eu/esco/occupation/2ae76ccc-f02e-4eb6-b693-fff70ba8f409","replace","ESCO child care social worker is more in line with JP http://data.europa.eu/esco/occupation/0d423a2e-6fb7-4704-8544-bd6c522b3c62"
"Childminder","childminder","Published","6122A","babysitter
au pair","http://data.europa.eu/esco/occupation/c4a81f47-6ed8-4a17-ab4a-21a2e67fa1d9
http://data.europa.eu/esco/occupation/f219f643-4df1-4a9a-b6c5-dc2f48c22806","decision req","prob go with childcare worker as role reqs higher level of knowledge and registration than babysitter/au pair http://data.europa.eu/esco/occupation/3413f234-6230-47a8-8cc7-2691fd54ce3a"
"Children's nurse","children's-nurse","Published","2231A","specialist nurse","http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba","replace","ESCO Nurses responsible for general care is listed under alt labels http://data.europa.eu/esco/occupation/8d3e8aaa-791b-4c75-a465-f3f827028f50"
"Chimney sweep","chimney-sweep","Published","9239A","chimney sweep","http://data.europa.eu/esco/occupation/a2dee758-72f5-4f1c-b760-f2b8e9d81911","good match",
"Chiropractor","chiropractor","Published","2229E","chiropractor","http://data.europa.eu/esco/occupation/49e4e358-8ba3-4a05-8ef9-abb73156f5f7","good match",
"Choreographer","choreographer","Published","3414A","choreographer","http://data.europa.eu/esco/occupation/189a337d-f6fb-44e2-9e7a-bc27b7b76e0e","good match",
"Cinema or theatre attendant","cinema-or-theatre-attendant","Published","9275A","usher","http://data.europa.eu/esco/occupation/7f346896-a4fb-47a1-9572-13398bc297a6","good match",
"Cinema projectionist","cinema-projectionist","Published","3417E","projectionist","http://data.europa.eu/esco/occupation/dce6a68c-8a05-4c26-85d4-6fbc43e7d822","good match",
"Circus performer","circus-performer","Published","3413C","circus artist","http://data.europa.eu/esco/occupation/22799921-76a1-44c4-a7c3-c6a548e8ad85","good match",
"Civil enforcement officer","civil-enforcement-officer","Published","9242A","civil enforcement officer","http://data.europa.eu/esco/occupation/b8b98b65-7db2-43f8-8ac4-2f1903984e7b","good match",
"Civil engineer","civil-engineer","Published","2121A","civil engineer","http://data.europa.eu/esco/occupation/d7d986e1-7333-431b-9719-0c5c6939e360","good match",
"Civil engineering technician","civil-engineering-technician","Published","3114B","civil engineering technician","http://data.europa.eu/esco/occupation/0f5cc4eb-925d-4b99-be6d-b0964a253a9a","good match",
"Civil Service administrative officer","civil-service-administrative-officer","Published","4112B","civil service administrative officer","http://data.europa.eu/esco/occupation/ffade2f4-2528-4dfd-b36a-6e4092be08ed","good match",
"Civil Service executive officer","civil-service-executive-officer","Published","4112C","policy officer","http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8","good match",
"Civil Service manager","civil-service-manager","Published","3561G","public administration manager","http://data.europa.eu/esco/occupation/0752ed49-03e7-4d75-8314-a051b3771a1d","good match",
"Classical musician","classical-musician","Published","3415A","musician","http://data.europa.eu/esco/occupation/f6803a58-91d9-4251-9a07-09fc387cec16","good match",
"Cleaner","cleaner","Published","9233A","domestic cleaner
building cleaner","http://data.europa.eu/esco/occupation/cbad55a4-c7cf-4ab6-9540-eac72b26729b
http://data.europa.eu/esco/occupation/303a1e34-cb16-4054-b323-81e5eec17397
http://data.europa.eu/esco/occupation/303a1e34-cb16-4054-b323-81e5eec17397","2 ESCO options","ESCO also has building cleaner http://data.europa.eu/esco/occupation/303a1e34-cb16-4054-b323-81e5eec17397"
"Climate scientist","climate-scientist","Published","2113J","climatologist","http://data.europa.eu/esco/occupation/3dbd758c-6dc0-41fe-8248-2250c9bfa4ab","good match",
"Clinical engineer","clinical-engineer","Published","2126A","medical device assembler","http://data.europa.eu/esco/occupation/24a170fc-be68-43a5-93f1-7a5c31c6062b","replace","ESCO medical device engineer http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09"
"Clinical psychologist","clinical-psychologist","Published","2212B","clinical psychologist","http://data.europa.eu/esco/occupation/c3c8c56c-b3ab-4425-a38a-abcace020d22","good match",
"Clinical scientist","clinical-scientist","Published","2112G","biomedical scientist","http://data.europa.eu/esco/occupation/2e8820ba-5b2d-4572-92a1-942dbd02a6d6","good match",
"CNC machinist","cnc-machinist","Published","5221A","computer numerical control machine operator","http://data.europa.eu/esco/occupation/5c082067-ea18-4ccb-8c43-e70b18ad8120","good match",
"Coastguard","coastguard","Published","3319C","coastguard watch officer","http://data.europa.eu/esco/occupation/bd1cd902-1fb1-40b1-abce-bb9ef60805b4","good match",
"Cognitive behavioural therapist","cognitive-behavioural-therapist","Published","2229F","speech and language therapist","http://data.europa.eu/esco/occupation/8021f3a2-e3de-43c0-b366-075da74dc5b7","replace","ESCO psychotherapist includes CBT in alt labels http://data.europa.eu/esco/occupation/af69484e-b43f-4685-b22d-f3418df45c4d"
"Colon hydrotherapist","colon-hydrotherapist","Published","2229G","complementary therapist","http://data.europa.eu/esco/occupation/c2a29b8d-1042-4766-a162-e174c7a77421","partial match","probably as close as ESCO gets for this one as very specialised role"
